Run, Vehicle_Length, Vehicle_Width, Vehicle_Height, Front_Overhang, Front_Planview, Hood_Angle, Approach_Angle, Windscreen_Angle, Greenhouse_Tapering, Backlight_Angle, Decklid_Height, Rearend_tapering, Rear_Overhang, Rear_Diffusor_Angle, Vehicle_Ride_Height, Vehicle_Pitch
145,200.138, -85.9672, 32.4011, 23.2428, 57.6455, 6.08326, 5.61403, 105.078, -62.4138, 81.4254, -26.8697, 53.7443, -96.8898, -24.8318, -35.6364, -0.253547
146,0.137591, 14.0328, -67.5989, -101.757, -17.3545, -43.9167, -29.386, -44.9217, 37.5862, -68.5746, 23.1303, -26.2557, 28.1102, 25.1682, 14.3636, 0.746453
147,-99.8624, -35.9672, 82.4011, 85.7428, -54.8545, 31.0833, 23.114, -119.922, -12.4138, 156.425, -1.86967, -66.2557, -34.3898, 0.168216, -10.6364, 0.246453
148,100.138, 64.0328, -17.5989, -39.2572, 20.1455, -18.9167, -11.886, 30.0783, 87.5862, 6.42537, 48.1303, 13.7443, 90.6102, -49.8318, 39.3636, -0.753547
149,-149.862, 39.0328, 57.4011, -70.5072, -73.6045, -31.4167, 14.364, -7.42174, -37.4138, -31.0746, -14.3697, -6.25566, -65.6398, 37.6682, -23.1364, 0.996453
150,50.1376, -60.9672, -42.5989, 54.4928, 1.39554, 18.5833, -20.636, 142.578, 62.5862, 118.925, 35.6303, -86.2557, 59.3602, -12.3318, 26.8636, -0.00354731
151,-49.8624, 89.0328, -92.5989, -8.00718, -36.1045, -6.41674, -38.136, 67.5783, 12.5862, 43.9254, 10.6303, 33.7443, -3.13982, -37.3318, 1.8636, -0.503547
152,150.138, -10.9672, 7.4011, -133.007, 38.8955, 43.5833, -3.13597, -82.4217, -87.4138, 193.925, -39.3697, -46.2557, -128.14, 12.6682, -48.1364, 0.496453
153,225.138, -23.4672, -55.0989, -23.6322, 67.0205, 37.3333, -25.011, 48.8283, -49.9138, 175.175, 29.3803, 23.7443, -81.2648, 6.41822, 20.6136, -0.628547
154,25.1376, 76.5328, 44.9011, -148.632, -7.97946, -12.6667, 9.98903, -101.172, 50.0862, 25.1754, -20.6197, -56.2557, 43.7352, -43.5818, -29.3864, 0.371453
155,-74.8624, 26.5328, -5.0989, 38.8678, -45.4795, -37.6667, -7.51097, 123.828, 0.0861943, -49.8246, -45.6197, 63.7443, -18.7648, 31.4182, 45.6136, -0.128547
156,125.138, -73.4672, 94.9011, -86.1322, 29.5205, 12.3333, 27.489, -26.1717, -99.9138, 100.175, 4.38033, -16.2557, -143.765, -18.5818, -4.3864, 0.871453
157,-124.862, -98.4672, -30.0989, -117.382, -64.2295, -0.166738, -16.261, -63.6717, -24.9138, 62.6754, 41.8803, -36.2557, -50.0148, -31.0818, 33.1136, 0.621453
158,75.1376, 1.53283, 69.9011, 7.61782, 10.7705, 49.8333, 18.739, 86.3283, 75.0862, -87.3246, -8.11967, 43.7443, 74.9852, 18.9182, -16.8864, -0.378547
159,-24.8624, -48.4672, 19.9011, -54.8822, -26.7295, 24.8333, 1.23903, 11.3283, 25.0862, 137.675, -33.1197, 3.74434, 12.4852, -6.08178, -41.8864, -0.878547
160,175.138, 51.5328, -80.0989, 70.1178, 48.2705, -25.1667, -33.761, -138.672, -74.9138, -12.3246, 16.8803, -76.2557, -112.515, 43.9182, 8.1136, 0.121453
161,193.888, 98.4078, -45.7239, 34.9616, -57.1982, 23.2708, -4.22972, -105.859, 34.4612, -92.0121, -15.9322, -18.7557, 86.7039, 42.3557, 0.301099, -0.659797
162,-6.11241, -1.59217, 54.2761, -90.0384, 17.8018, -26.7292, -39.2297, 44.1408, -65.5388, 57.9879, 34.0678, 61.2443, -38.2961, -7.64428, -49.6989, 0.340203
163,-106.112, -51.5922, 4.2761, 97.4616, -19.6982, 48.2708, 13.2703, -30.8592, 84.4612, -17.0121, 9.06783, 21.2443, -100.796, -32.6443, 25.3011, -0.159797
164,93.8876, 48.4078, -95.7239, -27.5384, 55.3018, -1.72924, -21.7297, 119.141, -15.5388, 132.988, -40.9322, -58.7557, 24.2039, 17.3557, -24.6989, 0.840203
165,243.888, 23.4078, -20.7239, -58.7884, -38.4482, -14.2292, 4.52028, 81.6408, 59.4612, 95.4879, -3.43217, -78.7557, -132.046, 4.85572, 12.8011, 0.590203
166,43.8876, -76.5922, 79.2761, 66.2116, 36.5518, 35.7708, -30.4797, -68.3592, -40.5388, -54.5121, 46.5678, 1.24434, -7.04607, -45.1443, -37.1989, -0.409797
167,-56.1124, 73.4078, 29.2761, 3.71157, -0.948206, 10.7708, 22.0203, -143.359, -90.5388, 170.488, 21.5678, -38.7557, -69.5461, 29.8557, 37.8011, -0.909797
168,143.888, -26.5922, -70.7239, -121.288, 74.0518, -39.2292, -12.9797, 6.64076, 9.46119, 20.4879, -28.4322, 41.2443, 55.4539, -20.1443, -12.1989, 0.0902027
169,218.888, -39.0922, 66.7761, -11.9134, -47.8232, -45.4792, -34.8547, 137.891, 46.9612, 1.73787, 40.3178, -48.7557, -147.671, -26.3943, -43.4489, 0.965203
170,18.8876, 60.9078, -33.2239, -136.913, 27.1768, 4.52076, 0.14528, -12.1092, -53.0388, 151.738, -9.68217, 31.2443, -22.6711, 23.6057, 6.5511, -0.0347973
171,-81.1124, 10.9078, -83.2239, 50.5866, -10.3232, -20.4792, -17.3547, -87.1092, 96.9612, 76.7379, -34.6822, -8.75566, -85.1711, -1.39428, -18.4489, -0.534797
172,118.888, -89.0922, 16.7761, -74.4134, 64.6768, 29.5208, 17.6453, 62.8908, -3.03881, -73.2621, 15.3178, -88.7557, 39.8289, 48.6057, 31.5511, 0.465203
173,-131.112, 85.9078, 91.7761, -105.663, -29.0732, 17.0208, -26.1047, 25.3908, 71.9612, 189.238, -47.1822, 51.2443, -116.421, 36.1057, -30.9489, 0.215203
174,68.8876, -14.0922, -8.2239, 19.3366, 45.9268, -32.9792, 8.89528, -124.609, -28.0388, 39.2379, 2.81783, -28.7557, 8.57893, -13.8943, 19.0511, -0.784797
175,-31.1124, -64.0922, -58.2239, -43.1634, 8.42679, 42.0208, -8.60472, 100.391, -78.0388, -35.7621, -22.1822, -68.7557, -53.9211, -38.8943, -5.9489, 0.715203
176,168.888, 35.9078, 41.7761, 81.8366, -66.5732, -7.97924, 26.3953, -49.6092, 21.9612, 114.238, 27.8178, 11.2443, 71.0789, 11.1057, 44.0511, -0.284797
177,206.388, -70.3422, -89.4739, 11.5241, 22.4893, -11.1042, 15.4578, 16.0158, 40.7112, -45.1371, -37.8072, -33.7557, -30.4836, 7.98072, 28.4261, 0.152703
178,6.38759, 29.6578, 10.5261, -113.476, -52.5107, 38.8958, -19.5422, -133.984, -59.2888, 104.863, 12.1928, 46.2443, 94.5164, -42.0193, -21.5739, -0.847297
179,-93.6124, -20.3422, -39.4739, 74.0241, 59.9893, 13.8958, -37.0422, 91.0158, 90.7112, 29.8629, -12.8072, 6.24434, 32.0164, 32.9807, -46.5739, 0.652703
180,106.388, 79.6578, 60.5261, -50.9759, -15.0107, -36.1042, -2.04222, -58.9842, -9.28881, 179.863, 37.1928, -73.7557, -92.9836, -17.0193, 3.4261, -0.347297
181,-143.612, 54.6578, -64.4739, -82.2259, 41.2393, -48.6042, 24.2078, -96.4842, 65.7112, 142.363, -25.3072, 66.2443, 0.766432, -29.5193, 40.9261, -0.597297
182,56.3876, -45.3422, 35.5261, 42.7741, -33.7607, 1.39576, -10.7922, 53.5158, -34.2888, -7.63713, 24.6928, -13.7557, -124.234, 20.4807, -9.0739, 0.402703
183,-43.6124, -95.3422, -14.4739, -19.7259, -71.2607, -23.6042, -28.2922, -21.4842, -84.2888, -82.6371, -0.30717, -53.7557, 63.2664, -4.51928, -34.0739, -0.0972973
184,156.388, 4.65783, 85.5261, -144.726, 3.73929, 26.3958, 6.70778, 128.516, 15.7112, 67.3629, 49.6928, 26.2443, -61.7336, 45.4807, 15.9261, 0.902703
185,231.388, -7.84217, 23.0261, -35.3509, 31.8643, 20.1458, -15.1672, -40.2342, 53.2112, 48.6129, 18.4428, -63.7557, -14.8586, 39.2307, -15.3239, -0.222297
186,31.3876, 92.1578, -76.9739, 89.6491, -43.1357, -29.8542, 19.8328, 109.766, -46.7888, 198.613, -31.5572, 16.2443, -139.859, -10.7693, 34.6761, 0.777703
187,-68.6124, 42.1578, 73.0261, 27.1491, 69.3643, 45.1458, 2.33278, 34.7658, -96.7888, 123.613, 43.4428, -23.7557, 47.6414, -35.7693, 9.6761, 0.277703
188,131.388, -57.8422, -26.9739, -97.8509, -5.63571, -4.85424, -32.6672, -115.234, 3.21119, -26.3871, -6.55717, 56.2443, -77.3586, 14.2307, -40.3239, -0.722297
189,-118.612, -82.8422, 48.0261, -129.101, 50.6143, -17.3542, -6.41722, 147.266, 78.2112, -63.8871, 30.9428, 36.2443, 16.3914, 1.73072, -2.8239, -0.972297
190,81.3876, 17.1578, -51.9739, -4.10093, -24.3857, 32.6458, 28.5828, -2.73424, -21.7888, 86.1129, -19.0572, -43.7557, -108.609, -48.2693, 47.1761, 0.0277027
191,-18.6124, -32.8422, 98.0261, -66.6009, -61.8857, 7.64576, 11.0828, -77.7342, -71.7888, 11.1129, -44.0572, -83.7557, 78.8914, 26.7307, 22.1761, -0.472297
192,181.388, 67.1578, -1.9739, 58.3991, 13.1143, -42.3542, -23.9172, 72.2658, 28.2112, 161.113, 5.94283, -3.75566, -46.1086, -23.2693, -27.8239, 0.527703
193,190.763, 90.5953, -84.7864, 40.8209, -39.6201, -18.1355, -9.15159, 88.672, 82.8987, -28.7309, -10.4634, 24.9943, -71.4992, 25.9495, 18.2698, -0.862922
194,-9.23741, -9.40467, 15.2136, -84.1791, 35.3799, 31.8645, 25.8484, -61.328, -17.1013, 121.269, 39.5366, -55.0057, 53.5008, -24.0505, -31.7302, 0.137078
195,-109.237, -59.4047, -34.7864, -146.679, -2.12008, 6.86451, 8.34841, -136.328, -67.1013, 46.2691, 14.5366, 64.9943, -8.99919, -49.0505, 43.2698, -0.362922
196,90.7626, 40.5953, 65.2136, -21.6791, 72.8799, -43.1355, -26.6516, 13.672, 32.8987, 196.269, -35.4634, -15.0057, -133.999, 0.949466, -6.73015, 0.637078
197,240.763, 15.5953, -59.7864, -52.9291, -20.8701, 44.3645, -0.401595, -23.828, -92.1013, 158.769, 2.03658, -35.0057, -40.2492, -11.5505, 30.7698, 0.387078
198,40.7626, -84.4047, 40.2136, 72.0709, 54.1299, -5.63549, -35.4016, 126.172, 7.89869, 8.76912, -47.9634, 44.9943, 84.7508, 38.4495, -19.2302, -0.612922
199,-59.2374, 65.5953, -9.7864, 9.57095, 16.6299, -30.6355, 17.0984, 51.172, -42.1013, -66.2309, 27.0366, 4.99434, 22.2508, 13.4495, -44.2302, 0.887078
200,140.763, -34.4047, 90.2136, -115.429, -58.3701, 19.3645, -17.9016, -98.828, 57.8987, 83.7691, -22.9634, -75.0057, -102.749, -36.5505, 5.76985, -0.112922
201,215.763, -46.9047, 27.7136, -6.05405, -30.2451, 13.1145, -39.7766, 32.422, 95.3987, 65.0191, 45.7866, -5.00566, -55.8742, -42.8005, -25.4802, 0.762078
202,15.7626, 53.0953, -72.2864, -131.054, 44.7549, -36.8855, -4.77659, -117.578, -4.60131, -84.9809, -4.21342, -85.0057, 69.1258, 7.19947, 24.5198, -0.237922
203,-84.2374, 3.09533, 77.7136, 56.4459, 7.25492, 38.1145, -22.2766, 107.422, -54.6013, 140.019, -29.2134, 34.9943, 6.62581, -17.8005, -0.480151, -0.737922
204,115.763, -96.9047, -22.2864, -68.5541, -67.7451, -11.8855, 12.7234, -42.578, 45.3987, -9.98088, 20.7866, -45.0057, -118.374, 32.1995, 49.5198, 0.262078
205,-134.237, 78.0953, 52.7136, -99.8041, -11.4951, -24.3855, -31.0266, -80.078, -79.6013, -47.4809, -41.7134, -65.0057, -24.6242, 19.6995, -12.9802, 0.0120777
206,65.7626, -21.9047, -47.2864, 25.1959, 63.5049, 25.6145, 3.97341, 69.922, 20.3987, 102.519, 8.28658, 14.9943, -149.624, -30.3005, 37.0198, -0.987922
207,-34.2374, -71.9047, -97.2864, -37.3041, 26.0049, 0.614512, -13.5266, -5.07799, -29.6013, 27.5191, -16.7134, -25.0057, 37.8758, 44.6995, 12.0198, 0.512078
208,165.763, 28.0953, 2.7136, 87.6959, -48.9951, -49.3855, 21.4734, 144.922, 70.3987, 177.519, 33.2866, 54.9943, -87.1242, -5.30053, -37.9802, -0.487922
209,203.263, -78.1547, 71.4636, 17.3834, 40.0674, 47.4895, 10.5359, -89.453, 89.1487, 18.1441, -32.3384, 9.99434, 61.3133, -8.42553, 46.3948, -0.0504223
210,3.26259, 21.8453, -28.5364, -107.617, -34.9326, -2.51049, -24.4641, 60.547, -10.8513, 168.144, 17.6616, -70.0057, -63.6867, 41.5745, -3.60515, 0.949578
211,-96.7374, -28.1547, -78.5364, 79.8834, -72.4326, -27.5105, 28.0359, -14.453, -60.8513, 93.1441, -7.33842, 49.9943, -126.187, 16.5745, -28.6052, 0.449578
212,103.263, 71.8453, 21.4636, -45.1166, 2.56742, 22.4895, -6.96409, 135.547, 39.1487, -56.8559, 42.6616, -30.0057, -1.18669, -33.4255, 21.3948, -0.550422
213,-146.737, 46.8453, 96.4636, -76.3666, 58.8174, 9.98951, 19.2859, 98.047, -85.8513, -94.3559, -19.8384, -50.0057, 92.5633, -45.9255, -41.1052, -0.800422
214,53.2626, -53.1547, -3.5364, 48.6334, -16.1826, -40.0105, -15.7141, -51.953, 14.1487, 55.6441, 30.1616, 29.9943, -32.4367, 4.07447, 8.89485, 0.199578
215,-46.7374, 96.8453, -53.5364, -13.8666, -53.6826, 34.9895, -33.2141, -126.953, -35.8513, -19.3559, 5.16158, -10.0057, -94.9367, -20.9255, -16.1052, -0.300422
216,153.263, -3.15467, 46.4636, -138.867, 21.3174, -15.0105, 1.78591, 23.047, 64.1487, 130.644, -44.8384, 69.9943, 30.0633, 29.0745, 33.8948, 0.699578
217,228.263, -15.6547, -16.0364, -29.4916, 49.4424, -21.2605, -20.0891, -145.703, -98.3513, 111.894, 23.9116, -20.0057, 76.9383, 22.8245, 2.64485, -0.425422
218,28.2626, 84.3453, 83.9636, 95.5084, -25.5576, 28.7395, 14.9109, 4.29701, 1.64869, -38.1059, -26.0884, 59.9943, -48.0617, -27.1755, -47.3552, 0.574578
219,-71.7374, 34.3453, 33.9636, 33.0084, -63.0576, 3.73951, -2.58909, -70.703, -48.3513, 186.894, 48.9116, 19.9943, -110.562, 47.8245, 27.6448, 0.0745777
220,128.263, -65.6547, -66.0364, -91.9916, 11.9424, -46.2605, -37.5891, 79.297, 51.6487, 36.8941, -1.08842, -60.0057, 14.4383, -2.17553, -22.3552, -0.925422
221,-121.737, -90.6547, 8.9636, -123.242, 68.1924, 41.2395, -11.3391, 41.797, -73.3513, -0.605881, 36.4116, -80.0057, -141.812, -14.6755, 15.1448, 0.824578
222,78.2626, 9.34533, -91.0364, 1.75845, -6.80758, -8.76049, 23.6609, -108.203, 26.6487, 149.394, -13.5884, -0.00565529, -16.8117, 35.3245, -34.8552, -0.175422
223,-21.7374, -40.6547, 58.9636, -60.7416, -44.3076, -33.7605, 6.16091, 116.797, -23.3513, 74.3941, -38.5884, -40.0057, -79.3117, 10.3245, 40.1448, -0.675422
224,178.263, 59.3453, -41.0364, 64.2584, 30.6924, 16.2395, -28.8391, -33.203, 76.6487, -75.6059, 11.4116, 39.9943, 45.6883, -39.6755, -9.85515, 0.324578
225,197.013, -93.7797, -6.6614, 29.1022, -74.7763, -35.323, 0.692155, -0.390494, -13.9763, 144.707, -21.4009, -62.5057, -5.09294, -41.238, -17.6677, -0.456672
226,-2.98741, 6.22033, 93.3386, -95.8978, 0.223669, 14.677, -34.3078, 149.61, 86.0237, -5.29338, 28.5991, 17.4943, -130.093, 8.76197, 32.3323, 0.543328
227,-102.987, -43.7797, 43.3386, 91.6022, -37.2763, -10.323, 18.1922, 74.6095, 36.0237, -80.2934, 3.59908, -22.5057, 57.4071, -16.238, 7.33235, 0.0433277
228,97.0126, 56.2203, -56.6614, -33.3978, 37.7237, 39.677, -16.8078, -75.3905, -63.9763, 69.7066, -46.4009, 57.4943, -67.5929, 33.762, -42.6677, -0.956672
229,247.013, 31.2203, 18.3386, -64.6478, -56.0263, 27.177, 9.44216, -112.89, 11.0237, 32.2066, -8.90092, 37.4943, 26.1571, 21.262, -5.16765, 0.793328
230,47.0126, -68.7797, -81.6614, 60.3522, 18.9737, -22.823, -25.5578, 37.1095, -88.9763, 182.207, 41.0991, -42.5057, -98.8429, -28.738, 44.8323, -0.206672
231,-52.9874, 81.2203, 68.3386, -2.1478, -18.5263, -47.823, 26.9422, -37.8905, 61.0237, 107.207, 16.0991, -82.5057, 88.6571, 46.262, 19.8323, -0.706672
232,147.013, -18.7797, -31.6614, -127.148, 56.4737, 2.17701, -8.05784, 112.11, -38.9763, -42.7934, -33.9009, -2.50566, -36.3429, -3.73803, -30.1677, 0.293328
233,222.013, -31.2797, -94.1614, -17.7728, -65.4013, -4.07299, -29.9328, -56.6405, -1.47631, -61.5434, 34.8491, 67.4943, 10.5321, -9.98803, 38.5823, -0.831672
234,22.0126, 68.7203, 5.8386, -142.773, 9.59867, 45.927, 5.06716, 93.3595, 98.5237, 88.4566, -15.1509, -12.5057, -114.468, 40.012, -11.4177, 0.168328
235,-77.9874, 18.7203, -44.1614, 44.7272, -27.9013, 20.927, -12.4328, 18.3595, 48.5237, 13.4566, -40.1509, -52.5057, 73.0321, 15.012, -36.4177, -0.331672
236,122.013, -81.2797, 55.8386, -80.2728, 47.0987, -29.073, 22.5672, -131.64, -51.4763, 163.457, 9.84908, 27.4943, -51.9679, -34.988, 13.5823, 0.668328
237,-127.987, 93.7203, -69.1614, -111.523, -46.6513, -41.573, -21.1828, 130.86, 23.5237, 125.957, 47.3491, 7.49434, 41.7821, -47.488, -48.9177, 0.418328
238,72.0126, -6.27967, 30.8386, 13.4772, 28.3487, 8.42701, 13.8172, -19.1405, -76.4763, -24.0434, -2.65092, -72.5057, -83.2179, 2.51197, 1.08235, -0.581672
239,-27.9874, -56.2797, -19.1614, -49.0228, -9.15133, -16.573, -3.68284, -94.1405, 73.5237, -99.0434, -27.6509, 47.4943, -145.718, -22.488, -23.9177, 0.918328
240,172.013, 43.7203, 80.8386, 75.9772, 65.8487, 33.427, -38.6828, 55.8595, -26.4763, 50.9566, 22.3491, -32.5057, -20.7179, 27.512, 26.0823, -0.0816723
241,209.513, -62.5297, -50.4114, 5.6647, 4.91117, 30.302, 20.3797, 121.485, -7.72631, 191.582, -43.2759, -77.5057, -122.28, 24.387, 10.4573, 0.355828
242,9.51259, 37.4703, 49.5886, -119.335, -70.0888, -19.698, -14.6203, -28.5155, 92.2737, 41.5816, 6.72408, 2.49434, 2.71956, -25.613, -39.5427, -0.644172
243,-90.4874, -12.5297, -0.411403, 68.1647, 42.4112, -44.698, -32.1203, -103.515, 42.2737, -33.4184, -18.2759, -37.5057, -59.7804, 49.387, 35.4573, 0.855828
244,109.513, 87.4703, 99.5886, -56.8353, -32.5888, 5.30201, 2.87966, 46.4845, -57.7263, 116.582, 31.7241, 42.4943, 65.2196, -0.613034, -14.5427, -0.144172
245,-140.487, 62.4703, -25.4114, -88.0853, 23.6612, -7.19799, 29.1297, 8.98451, 17.2737, 79.0816, -30.7759, 22.4943, -91.0304, -13.113, 22.9573, -0.394172
246,59.5126, -37.5297, 74.5886, 36.9147, -51.3388, 42.802, -5.87034, -141.015, -82.7263, -70.9184, 19.2241, -57.5057, 33.9696, 36.887, -27.0427, 0.605828
247,-40.4874, -87.5297, 24.5886, -25.5853, 61.1612, 17.802, -23.3703, 83.9845, 67.2737, 154.082, -5.77592, 62.4943, -28.5304, 11.887, 47.9573, 0.105828
248,159.513, 12.4703, -75.4114, 99.4147, -13.8388, -32.198, 11.6297, -66.0155, -32.7263, 4.08162, 44.2241, -17.5057, 96.4696, -38.113, -2.04265, -0.894172
249,234.513, -0.0296652, 62.0886, -41.2103, 14.2862, -38.448, -10.2453, 65.2345, 4.77369, -14.6684, 12.9741, 52.4943, -106.655, -44.363, -33.2927, -0.0191723
250,34.5126, 99.9703, -37.9114, 83.7897, -60.7138, 11.552, 24.7547, -84.7655, -95.2263, 135.332, -37.0259, -27.5057, 18.3446, 5.63697, 16.7073, 0.980828
251,-65.4874, 49.9703, -87.9114, 21.2897, 51.7862, -13.448, 7.25466, 140.235, 54.7737, 60.3316, 37.9741, -67.5057, -44.1554, -19.363, -8.29265, 0.480828
252,134.513, -50.0297, 12.0886, -103.71, -23.2138, 36.552, -27.7453, -9.76549, -45.2263, -89.6684, -12.0259, 12.4943, 80.8446, 30.637, 41.7073, -0.519172
253,-115.487, -75.0297, 87.0886, -134.96, 33.0362, 24.052, -1.49534, -47.2655, 29.7737, 172.832, 25.4741, -7.50566, -75.4054, 18.137, -20.7927, -0.769172
254,84.5126, 24.9703, -12.9114, -9.9603, -41.9638, -25.948, -36.4953, 102.735, -70.2263, 22.8316, -24.5259, -87.5057, 49.5946, -31.863, 29.2073, 0.230828
255,-15.4874, -25.0297, -62.9114, -72.4603, 70.5362, 49.052, 16.0047, 27.7345, 79.7737, -52.1684, -49.5259, 32.4943, -12.9054, 43.137, 4.20735, -0.269172
256,184.513, 74.9703, 37.0886, 52.5397, -4.46383, -0.947988, -18.9953, -122.265, -20.2263, 97.8316, 0.47408, -47.5057, -137.905, -6.86303, -45.7927, 0.730828
257,186.856, -69.1703, -33.6145, -76.8548, -55.1474, -44.8933, -15.3039, 31.8361, -56.5544, -99.6293, -3.62748, -40.3182, -19.2531, -44.5583, -9.26921, 0.883171
258,-13.1437, 30.8297, 66.3855, 48.1452, 19.8526, 5.1067, 19.6961, -118.164, 43.4456, 50.3707, 46.3725, 39.6818, -144.253, 5.44165, 40.7308, -0.116829
259,-113.144, -19.1703, 16.3855, -14.3548, -17.6474, -19.8933, 2.19606, 106.836, -6.55443, -24.6293, 21.3725, -0.318155, 43.2469, -19.5583, 15.7308, -0.616829
260,86.8563, 80.8297, -83.6145, -139.355, 57.3526, 30.1067, -32.8039, -43.1639, 93.4456, 125.371, -28.6275, -80.3182, -81.7531, 30.4417, -34.2692, 0.383171
261,236.856, 55.8297, -8.61453, 79.3952, -36.3974, 17.6067, -6.55394, -80.6639, -31.5544, 87.8707, 8.87252, 59.6818, 11.9969, 17.9417, 3.23079, 0.133171
262,36.8563, -44.1703, 91.3855, -45.6048, 38.6026, -32.3933, 28.4461, 69.3361, 68.4456, -62.1293, -41.1275, -20.3182, -113.003, -32.0583, -46.7692, -0.866829
263,-63.1437, -94.1703, 41.3855, -108.105, 1.10258, 42.6067, 10.9461, -5.66393, 18.4456, 162.871, 33.8725, -60.3182, 74.4969, 42.9417, 28.2308, 0.633171
264,136.856, 5.82971, -58.6145, 16.8952, -73.8974, -7.3933, -24.0539, 144.336, -81.5544, 12.8707, -16.1275, 19.6818, -50.5031, -7.05835, -21.7692, -0.366829
265,211.856, -6.67029, 78.8855, -123.73, -45.7724, -13.6433, 24.0711, -24.4139, -44.0544, -5.87932, -47.3775, -70.3182, -3.6281, -13.3083, 46.9808, 0.508171
266,11.8563, 93.3297, -21.1145, 1.27017, 29.2276, 36.3567, -10.9289, 125.586, 55.9456, 144.121, 2.62252, 9.68184, -128.628, 36.6917, -3.01921, -0.491829
267,-88.1437, 43.3297, -71.1145, -61.2298, -8.27242, 11.3567, -28.4289, 50.5861, 5.94557, 69.1207, -22.3775, -30.3182, 58.8719, 11.6917, -28.0192, -0.991829
268,111.856, -56.6703, 28.8855, 63.7702, 66.7276, -38.6433, 6.57106, -99.4139, -94.0544, -80.8793, 27.6225, 49.6818, -66.1281, -38.3083, 21.9808, 0.00817144
269,-138.144, -81.6703, -96.1145, 32.5202, -27.0224, 48.8567, -37.1789, -136.914, -19.0544, 181.621, -34.8775, 29.6818, 27.6219, 49.1917, -40.5192, -0.241829
270,61.8563, 18.3297, 3.88547, -92.4798, 47.9776, -1.1433, -2.17894, 13.0861, 80.9456, 31.6207, 15.1225, -50.3182, -97.3781, -0.808346, 9.48079, 0.758171
271,-38.1437, -31.6703, -46.1145, 95.0202, 10.4776, -26.1433, -19.6789, -61.9139, 30.9456, -43.3793, -9.87748, 69.6818, 90.1219, -25.8083, -15.5192, 0.258171
272,161.856, 68.3297, 53.8855, -29.9798, -64.5224, 23.8567, 15.3211, 88.0861, -69.0544, 106.621, 40.1225, -10.3182, -34.8781, 24.1917, 34.4808, -0.741829
273,199.356, -37.9203, -77.3645, -100.292, 24.5401, 20.7317, 4.38356, -146.289, -50.3044, -52.7543, -25.5025, -55.3182, -136.441, 21.0667, 18.8558, -0.304329
274,-0.643659, 62.0797, 22.6355, 24.7077, -50.4599, -29.2683, -30.6164, 3.71107, 49.6956, 97.2457, 24.4975, 24.6818, -11.4406, -28.9333, -31.1442, 0.695671
275,-100.644, 12.0797, -27.3645, -37.7923, 62.0401, 45.7317, 21.8836, -71.2889, -0.304431, 22.2457, -0.502482, -15.3182, -73.9406, 46.0667, 43.8558, 0.195671
276,99.3563, -87.9203, 72.6355, 87.2077, -12.9599, -4.2683, -13.1164, 78.7111, 99.6956, 172.246, 49.4975, 64.6818, 51.0594, -3.93335, -6.14421, -0.804329
277,249.356, 87.0797, -52.3645, 55.9577, 43.2901, -16.7683, 13.1336, 41.2111, -25.3044, 134.746, -13.0025, 44.6818, -105.191, -16.4333, 31.3558, 0.945671
278,49.3563, -12.9203, 47.6355, -69.0423, -31.7099, 33.2317, -21.8664, -108.789, 74.6956, -15.2543, 36.9975, -35.3182, 19.8094, 33.5667, -18.6442, -0.0543286
279,-50.6437, -62.9203, -2.36453, -131.542, -69.2099, 8.2317, -39.3664, 116.211, 24.6956, -90.2543, 11.9975, -75.3182, -42.6906, 8.56665, -43.6442, -0.554329
280,149.356, 37.0797, 97.6355, -6.54233, 5.79008, -41.7683, -4.36644, -33.7889, -75.3044, 59.7457, -38.0025, 4.68184, 82.3094, -41.4333, 6.35579, 0.445671
281,224.356, 24.5797, 35.1355, -147.167, 33.9151, -48.0183, -26.2414, 97.4611, -37.8044, 40.9957, 30.7475, -85.3182, -120.816, -47.6833, -24.8942, -0.679329
282,24.3563, -75.4203, -64.8645, -22.1673, -41.0849, 1.9817, 8.75856, -52.5389, 62.1956, 190.996, -19.2525, -5.31816, 4.1844, 2.31665, 25.1058, 0.320671
283,-75.6437, 74.5797, 85.1355, -84.6673, 71.4151, -23.0183, -8.74144, -127.539, 12.1956, 115.996, -44.2525, -45.3182, -58.3156, -22.6833, 0.105786, -0.179329
284,124.356, -25.4203, -14.8645, 40.3327, -3.58492, 26.9817, 26.2586, 22.4611, -87.8044, -34.0043, 5.74752, 34.6818, 66.6844, 27.3167, -49.8942, 0.820671
285,-125.644, -50.4203, 60.1355, 9.08267, 52.6651, 14.4817, -17.4914, -15.0389, -12.8044, -71.5043, 43.2475, 14.6818, -89.5656, 14.8167, -12.3942, 0.570671
286,74.3563, 49.5797, -39.8645, -115.917, -22.3349, -35.5183, 17.5086, 134.961, 87.1956, 78.4957, -6.75248, -65.3182, 35.4344, -35.1833, 37.6058, -0.429329
287,-25.6437, -0.42029, -89.8645, 71.5827, -59.8349, 39.4817, 0.00856131, 59.9611, 37.1956, 3.49568, -31.7525, 54.6818, -27.0656, 39.8167, 12.6058, -0.929329
288,174.356, 99.5797, 10.1355, -53.4173, 15.1651, -10.5183, -34.9914, -90.0389, -62.8044, 153.496, 18.2475, -25.3182, 97.9344, -10.1833, -37.3942, 0.0706714
289,193.106, -53.5453, 44.5105, -88.5736, 59.6963, 37.9192, -5.46019, -57.2264, 46.5706, 73.8082, -14.565, 32.1818, 47.1532, -11.7458, -45.2067, -0.710579
